,cust_no,age_level,exp_code,source_code,0,1,2,5,9,A,trans_type,c0,c1,c2,c3,c4,c5,c6,current_c,H,O,R,company_type,avg_stock,current_stock,avg_amount,current_amount,label
2630,0x47FD058294A9759AB119FB2CCF21DAEACD43A1DD2E3461F32392A35AC03064BB,3,4,2,56,0,0,0,0,4,0,28,13,8,0,2,0,9,0,51,9,0,H,1137.6,1000,33689.8933333333,15550,0
2631,0xF57337E727526B1D90BBD4BB5F04A2881A110AF5B0816F2E6F70C6A5FC1D3239,4,2,2,47,0,0,0,0,0,0,6,5,14,4,7,0,11,3,47,0,0,H,756.170212765958,100,16394.829787234,8139,0
2632,0xC26F966F6295753F82A7A3D3034B8AB334BF62C1DFB2AC4E98142F1E8C3FCBAD,2,1,2,39,0,0,0,0,0,0,24,7,7,0,0,1,0,0,39,0,0,H,1153.84615384615,1000,31556.6666666667,13700,0
2633,0x45D542E457C0DC1C7253E9B6A484EB593A4D5AF6E4DE62D5C869BB2E304D2B77,3,4,2,29,0,0,0,0,0,0,21,2,3,1,0,2,0,0,15,14,0,O,1103.44827586207,1000,48055.1724137931,68600,0
2634,0x1C0C1702709A759C8C30F08F851508F3A0686E1E2B88FCC9F8FB9D4C0A556EB7,3,0,2,32,0,0,0,0,0,0,29,0,3,0,0,0,0,0,16,16,0,H,1062.5,1000,37789.0625,13600,0
2635,0x629FE3FE16FDFC87464824144A696B91EEF82E0BEB4416AA60D76DA445F7BB6C,3,1,1,27,0,0,0,0,0,0,0,1,16,0,0,0,10,2,22,5,0,H,1344.44444444444,1000,27416.037037037,10020,0
2636,0xB486F6416C6452CC1DF508117011E8105CDF9F00C19EE1DAA9C2AC443E735EF2,2,2,2,79,0,0,0,0,0,0,40,0,22,14,0,0,3,3,50,29,0,H,1430.37974683544,1000,39885.9493670886,111200,0
2637,0x6C6A8BD25CA11A2BC85E179765397EBC2E5E36F309298911D8B97C456CCD9FD3,2,0,2,7,0,0,0,0,0,0,1,4,0,0,0,2,0,1,7,0,0,H,2171.42857142857,2000,123171.428571429,91500,0
2638,0x7BB1249583C7A53367DD132BB81513ED5C18DF168C1C3E00BE2F1AD40FFCD99A,4,0,2,22,0,0,0,0,0,0,0,0,10,0,1,0,11,6,22,0,0,H,1112.27272727273,172,48016.4409090909,20106.8,0
2639,0xE301D8033D6D16A71EFDE284769F4976A4F87DE38F29F16377CFE5CAEDADA973,3,4,2,38,0,0,0,0,0,0,27,5,0,3,3,0,0,1,32,6,0,H,3738.36842105263,1000,65893.3210526316,25650,0
2640,0x2D9D19F501C71C1A707B3DAD3D70705FB547134C38F565D5881081D84144AFDA,3,2,2,44,0,0,0,0,0,0,34,3,0,0,5,2,0,0,41,3,0,H,1522.84090909091,1000,36897.4543181818,26750,0
